01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
DuckTales Remastered,ducktales: remastered,12716,12944,18146,38856,15980,329,150,53,532,1381,5,1928,25,178,74,402
Fading Hearts,fading hearts,3324,6950,19860,19913,15756,3,3,2,8,15,0,45,1,5,57,7
DEFCON,defcon,2402,4519,12978,23394,7439,19,3,5,27,254,0,2273,28,581,57,29
Eufloria HD,eufloria,3197,42145,59683,83612,52010,39,16,13,68,274,0,1421,8,393,70,40
I Am Alive,i am alive,4573,19209,22711,26583,21768,148,113,33,294,644,0,1166,10,165,66,231
Call of Duty 2,call of duty 2,1465,29897,34575,40359,32055,421,74,83,578,2228,3,670,24,106,78,646
Airport Madness World Edition,airport madness: world edition,27759,24060,46236,0,40700,1,3,0,4,8,0,90,4,19,60,5
BioShock 2,bioshock 2,1066,38621,51802,83216,46270,1368,1180,247,2795,8828,2,14956,133,1756,78,2199
World of Goo,world of goo,11283,21581,28608,49682,24332,225,107,28,360,1853,0,4202,41,805,75,338
Puzzle Dimension,puzzle dimension,7420,46800,47100,50304,48282,3,2,5,10,43,0,458,4,67,71,11
L.A. Noire,l.a. noire,5146,77766,103320,147830,97476,517,639,194,1350,4351,1,7109,90,770,78,1220
Folk Tale,folk tale,25796,0,0,0,0,0,0,0,0,1,0,66,0,21,0,0
Deponia The Complete Journey,deponia: the complete journey,21094,95538,114037,125758,109063,68,53,45,166,487,0,2683,51,168,78,83
The Binding of Isaac Rebirth,the binding of isaac: rebirth,9782,19070,301156,989870,363594,148,150,141,439,1902,2,2706,107,535,85,509
Bloody Good Time,bloody good time,1192,7320,0,0,7320,1,0,0,1,33,0,182,6,109,65,6
Runaway A Road Adventure,runaway: a road adventure,8016,28792,35145,45658,31723,51,13,15,79,312,0,587,11,33,75,56
Assassin's Creed Revelations,assassin's creed: revelations,664,44551,74389,123511,67173,816,981,305,2102,6723,2,4426,56,356,75,1824
America's Army 3,america's army 3,426,0,0,0,0,0,0,0,0,9,0,113,5,48,80,1
1953 NATO vs Warsaw Pact,1953: nato vs warsaw pact,23501,0,0,0,0,0,0,0,0,1,0,23,1,5,10,1
HAWKEN,hawken,17087,0,25672,0,25672,0,2,0,2,88,0,794,19,687,63,27
Audition Online,audition online,27467,0,0,0,0,0,0,0,0,5,0,51,3,42,50,2
Salvation Prophecy,salvation prophecy,8094,52800,0,0,52800,2,0,0,2,9,0,87,1,7,70,2
Football Manager 2016,football manager 2016,31881,974607,990000,3899925,1759304,8,4,1,13,98,0,87,5,138,79,26
The Slaughtering Grounds,the slaughtering grounds,22710,0,0,7200,7200,0,0,1,1,7,0,55,0,25,10,1
Sid Meier's Civilization III Complete,sid meier's civilization iii: complete,8502,84415,153660,377694,138337,17,8,3,28,368,0,3312,41,809,80,49
The Longest Journey,the longest journey,10053,63041,74942,77029,70016,132,47,59,238,742,1,1905,14,119,84,192
Renowned Explorers International Society,renowned explorers: international society,29924,19666,68374,206018,32921,28,15,1,44,173,0,1090,11,102,71,34
Chronicles of a Dark Lord Episode 1 Tides of Fate Complete,,,,,,,,,,,,,,,,,
Grim Legends 2 Song of the Dark Swan,grim legends 2: song of the dark swan,26225,10789,15342,18999,16057,18,29,35,82,213,0,314,6,13,68,32
Saints Row IV,saints row iv,12650,54943,88768,130535,85968,446,869,285,1600,5955,6,5803,101,690,75,1099
Electronic Super Joy,electronic super joy,13406,11431,24078,61380,15594,74,26,6,106,343,1,1042,7,196,70,75
The Walking Dead Season Two,,,,,,,,,,,,,,,,,
Gemini Rue,gemini rue,3876,24654,28671,38743,26390,144,56,24,224,602,0,1974,11,132,77,146
The Secret World,the secret world,10163,109200,811936,1965749,820252,3,9,3,15,82,0,899,17,463,73,32
Franchise Hockey Manager 2,franchise hockey manager 2,34320,0,0,0,0,0,0,0,0,0,0,7,0,6,10,1
IL-2 Sturmovik Battle of Stalingrad,il-2 sturmovik: battle of stalingrad,29174,118800,0,0,118800,1,0,0,1,2,0,82,7,6,0,0
Cloud Chamber,cloud chamber,22157,19920,22320,44910,26137,5,2,2,9,15,0,107,1,9,58,5
Frozen Synapse,frozen synapse,3735,80178,117900,0,90060,11,4,0,15,172,0,2726,23,650,70,28
Ski Region Simulator,ski region simulator,22884,0,0,0,0,0,0,0,0,1,0,19,1,2,30,1
Homeworld Remastered Collection,homeworld: remastered collection,24517,76299,77090,123941,90530,20,16,20,56,219,0,1964,27,138,82,40
Secret Of Magia,secret of magia,29795,6420,7785,10776,7928,3,3,8,14,33,0,272,5,35,25,8
The Guild II Renaissance,the guild 2: renaissance,9913,0,777600,0,777600,0,1,0,1,42,0,611,10,106,65,6
Guns of Icarus Online,guns of icarus online,4216,25860,0,0,25860,1,0,0,1,154,0,2763,44,1004,58,35
Sherlock Holmes Nemesis,sherlock holmes: nemesis,8406,37199,44221,50850,39116,31,4,4,39,124,0,619,13,34,64,28
Tea Party Simulator 2015,tea party simulator 2015,28562,4590,8400,44670,14892,2,1,2,5,17,0,125,3,32,40,2
DeadCore,deadcore,22021,14884,21036,37809,16991,54,16,7,77,218,1,1105,7,141,69,43
Crysis Wars,crysis wars,2072,11336,0,0,11336,7,0,0,7,161,0,1546,17,602,66,9
Faerie Solitaire,faerie solitaire,3325,47204,61404,130428,71090,53,43,48,144,504,0,744,6,235,67,71
Hatoful Boyfriend,hatoful boyfriend,4347,5272,15639,33793,22328,150,41,232,423,1052,1,1623,5,150,67,221
Anno Online,anno online,29292,0,0,0,0,0,0,0,0,5,0,61,1,39,0,0
All Is Dust,all is dust,27024,879,0,1530,1074,6,0,4,10,26,0,88,2,18,45,4
Dota 2,dota 2,2721,2388912,3855020,5908725,3912160,28,12,14,54,231,0,266,34,316,74,258
Community College Hero Trial by Fire,community college hero: trial by fire,32738,16710,40680,43560,28434,2,2,1,5,12,0,11,0,2,70,4
Total War Battles SHOGUN,total war battles: shogun,10546,36000,50400,60870,51953,1,2,1,4,25,0,345,4,93,40,3
Age of Mythology Extended Edition,age of mythology: extended edition,19455,99487,144903,225525,140233,31,37,21,89,437,0,1251,24,167,83,83
Call of Duty Black Ops II,call of duty: black ops ii,1472,25320,35751,102232,29265,749,227,54,1030,4084,6,1850,33,437,76,1243
Joe Dever's Lone Wolf HD Remastered,,,,,,,,,,,,,,,,,
