searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
Assassin's Creed II,Assassin's Creed,779.0,Anvil,Platform,Adventure,,assassin,sandbox,blood,stealth,medieval,Assassin's Creed II,87.1636560285242,2068.0,Action,Action,Science fiction,Historical,Stealth
Terraria,Terraria,168.0,,Platform,Role-playing (RPG),Strategy,exploration,indie,dig,sandbox,magic,Terraria,81.1973203270388,570.0,Action,Action,Science fiction,Horror,Survival
Far Cry 4,Far Cry,323.0,Dunia Engine,Shooter,Tactical,Adventure,helicopter,hunting,sandbox,blood,stealth,Far Cry 4,75.9156119604764,783.0,Action,Action,Sandbox,Open world,Warfare
Anno 2070,Anno,31.0,,Real Time Strategy (RTS),Simulator,Strategy,exploration,sandbox,rts,related designs,city-building,Anno 2070,75.22699905088609,73.0,Science fiction,Science fiction,,,
Torchlight,Torchlight,56.0,OGRE,Role-playing (RPG),Hack and slash/Beat 'em up,,blood,medieval,magic,sword,grinding,Torchlight,74.2288711988918,189.0,Action,Action,Historical,,
Sid Meier's Railroads!,Railroad Tycoon,5.0,Gamebryo,Simulator,Strategy,,tycoon,trains,management,bridge,simulation,Sid Meier's Railroads!,77.0799920803164,10.0,Business,,,,
Hotel Giant 2,Hotel Giant,2.0,,Simulator,Strategy,,tycoon,city-building,management,simulation,micromanagement,Hotel Giant 2,50.0,1.0,,,,,
Pillars of Eternity,Pillars of Eternity,119.0,Unity,Role-playing (RPG),Strategy,Adventure,orcs,stealth,wizards,immortality,magic,Pillars of Eternity,81.6917260387516,234.0,Fantasy,,,,
Battlefield 2,Battlefield,98.0,Refractor Engine,Shooter,,,modern warfare,helicopter,vehicular combat,health,first person shooter,Battlefield 2,81.9769943635651,264.0,Action,Action,,,
Emergency 2012,Emergency,0.0,,Simulator,Strategy,,emergency,,,,,Emergency 2012,0.0,0.0,Non-fiction,Non-fiction,,,
Cities XL 2011,Cities XL,1.0,,Simulator,,,management,simulation,single-player only,year in the title,,Cities XL 2011,0.0,0.0,Sandbox,,,,
Section 8,Section 8,1.0,Unreal Engine 3,Shooter,,,vehicular combat,first person shooter,sci-fi,shooter,war,Section 8,69.97447989880851,9.0,Science fiction,,,,
Metro 2033,Metro,225.0,4A Engine,Shooter,Role-playing (RPG),,ghosts,assassin,post-apocalyptic,blood,stealth,Metro 2033,82.24033125691051,622.0,Action,Action,Horror,Thriller,Survival
Trials Fusion,Trials,29.0,,Platform,Racing,Sport,motorcycle,motocross,extreme,minigames,ps4,Trials Fusion,76.4620668078876,82.0,Non-fiction,,,,
Fallout 3,Fallout,537.0,Gamebryo,Shooter,Role-playing (RPG),,aliens,cold war,baseball,motorcycle,basketball,Fallout 3,83.4676149896672,1287.0,Action,Action,Survival,Sandbox,Open world
Grand Theft Auto V,Grand Theft Auto,1785.0,RAGE,Shooter,Adventure,,aliens,you get to be evil!,crime-life,helicopter,assassin,Grand Theft Auto V,90.2418418239403,3633.0,Action,Action,Sandbox,Open world,
R.U.S.E.,R.I.P.,7.0,IRISZOOM,Real Time Strategy (RTS),Strategy,Tactical,world war 2 ( ww2 ),blood,1940s,fire,nuke,R.U.S.E.,70.1787829164975,9.0,Action,Action,Historical,Warfare,"4X (explore, expand, exploit, and exterminate)"
F1 2011,F1,8.0,Ego Engine,Racing,Simulator,Sport,formula one,achievements,grand prix,driving-simulator,licensed game,F1 2011,74.6754900631087,25.0,Non-fiction,,,,
DiRT 3,Dirt,53.0,Ego Engine,Racing,Sport,,rally,racing,extreme sports,achievements,online,DiRT 3,77.3883223649804,165.0,Non-fiction,,,,
Darksiders,Darksiders,115.0,Phoenix Engine (Relic),Role-playing (RPG),Hack and slash/Beat 'em up,Adventure,helicopter,post-apocalyptic,blood,sword,fire,Darksiders,79.2835487668775,348.0,Action,Action,Open world,,
,,,,,,,,,,,,,,,,,,,
Imperial Glory,,3.0,,Real Time Strategy (RTS),Strategy,Tactical,historical warfare,real time tactics,strategic,real-time,management,Imperial Glory,76.3340960254006,9.0,Historical,Historical,,,
