,searchingName,collection,follows,franchise,game_engines,genre1,genre2,genre3,keywords1,keywords2,name,rating,rating_count,themes1,themes2,themes3
0,Sleeping Dogs,1010.0,181.0,,17.0,5.0,31.0,,"id: 22
","id: 61
",Sleeping Dogs,80.58233992642579,490.0,1.0,33.0,38.0
1,Left 4 Dead,26.0,159.0,,3.0,5.0,,,"id: 5
","id: 21
",Left 4 Dead,80.381463020285,521.0,1.0,19.0,21.0
2,Dragon Age II,10.0,144.0,,75.0,12.0,31.0,,"id: 147
","id: 296
",Dragon Age II,74.8461199737847,511.0,1.0,17.0,
3,Star Trek Online,3440.0,12.0,,341.0,12.0,13.0,15.0,"id: 3
","id: 24
",Star Trek Online,65.6254968121295,26.0,1.0,18.0,39.0
4,Bejeweled 2 Deluxe,368.0,0.0,,,9.0,,,"id: 734
",,Bejeweled 2 Deluxe,69.9398766347977,6.0,,,
5,Saints Row IV,197.0,125.0,,84.0,5.0,31.0,,"id: 3
","id: 14
",Saints Row IV,75.11420986281719,387.0,1.0,18.0,27.0
6,TimeShift,0.0,22.0,,152.0,5.0,,,"id: 21
","id: 69
",TimeShift,70.9855619633741,66.0,1.0,17.0,18.0
7,F1 2011,819.0,8.0,,99.0,10.0,13.0,14.0,"id: 620
","id: 1293
",F1 2011,74.6754900631087,25.0,32.0,,
8,,,,,,,,,,,,,,,,
9,F1 2012,819.0,6.0,,99.0,10.0,13.0,14.0,"id: 155
","id: 484
",F1 2012,74.35691283672709,21.0,32.0,,
10,Age of Empires Online,33.0,7.0,,207.0,11.0,12.0,15.0,"id: 2
","id: 4
",Age of Empires Online,77.7140083191811,17.0,1.0,17.0,22.0
11,NBA 2K11,659.0,11.0,"id: 16
",,14.0,,,"id: 58
","id: 809
",NBA 2K11,89.9848499640361,43.0,,,
12,Battlefield 2,34.0,98.0,,121.0,5.0,,,"id: 1
","id: 21
",Battlefield 2,81.9769943635651,264.0,1.0,39.0,
13,Alan Wake,511.0,270.0,,752.0,5.0,31.0,,"id: 129
","id: 221
",Alan Wake,81.6889201076549,665.0,1.0,19.0,20.0
14,GRID,445.0,44.0,,,10.0,13.0,14.0,,,GRID,74.87781539142671,18.0,1.0,,
15,Pillars of Eternity,2599.0,119.0,,13.0,12.0,15.0,31.0,"id: 96
","id: 132
",Pillars of Eternity,81.6917260387516,234.0,17.0,,
16,Devil May Cry 4,17.0,99.0,,14.0,25.0,31.0,,"id: 61
","id: 129
",Devil May Cry 4,80.2826642513164,326.0,1.0,17.0,19.0
17,Test Drive Unlimited 2,588.0,20.0,,113.0,10.0,,,"id: 271
","id: 735
",Test Drive Unlimited 2,65.91743007701521,54.0,38.0,,
18,Section 8,4851.0,1.0,,351.0,5.0,,,"id: 25
","id: 453
",Section 8,69.97447989880851,9.0,18.0,,
19,Sacred Gold,231.0,3.0,,,12.0,,,,,Sacred Gold,72.106391136711,11.0,1.0,17.0,
20,Stronghold 3,155.0,4.0,,17.0,11.0,13.0,15.0,"id: 151
","id: 227
",Stronghold 3,48.12181306360949,16.0,17.0,22.0,39.0
21,Split/Second,0.0,21.0,,,10.0,,,"id: 21
","id: 25
",Split/Second,81.5689343305221,78.0,1.0,,
22,Euro Truck Simulator 2,769.0,132.0,,60.0,10.0,13.0,32.0,"id: 304
","id: 405
",Euro Truck Simulator 2,80.0756543211554,220.0,32.0,38.0,
23,Alter Ego,0.0,0.0,,,12.0,13.0,31.0,"id: 43
","id: 218
",Alter Ego,50.0,4.0,,,
24,RACE On,1387.0,0.0,,,5.0,10.0,13.0,"id: 29
","id: 56
",RACE On,0.0,0.0,1.0,,
25,Street Fighter X Tekken,1308.0,14.0,,,4.0,33.0,,"id: 61
","id: 87
",Street Fighter X Tekken,73.3999385551282,66.0,1.0,,
26,Rayman Origins,206.0,116.0,,22.0,8.0,31.0,,"id: 67
","id: 163
",Rayman Origins,82.68561488788279,294.0,1.0,17.0,27.0
27,Supreme Commander 2,152.0,10.0,,,11.0,15.0,,"id: 67
","id: 167
",Supreme Commander 2,72.8286080190715,23.0,18.0,,
28,The Last Remnant,0.0,11.0,,6.0,12.0,15.0,,"id: 151
","id: 226
",The Last Remnant,64.7179705175128,18.0,17.0,22.0,
29,Blur,0.0,27.0,,109.0,10.0,14.0,33.0,"id: 25
","id: 1166
",Blur,76.3060426033768,85.0,1.0,18.0,
30,Supreme Commander,152.0,20.0,,,11.0,13.0,15.0,"id: 67
","id: 167
",Supreme Commander,77.1481772341248,42.0,1.0,18.0,
31,Dark Void,1362.0,7.0,,6.0,5.0,13.0,31.0,"id: 512
","id: 923
",Dark Void,66.4445605423236,26.0,1.0,17.0,18.0
32,Praetorians,0.0,6.0,,,11.0,15.0,32.0,"id: 2
","id: 293
",Praetorians,87.4910000982173,15.0,17.0,22.0,39.0
33,Darkspore,352.0,2.0,,,12.0,,,"id: 3
","id: 110
",Darkspore,0.0,0.0,1.0,18.0,
34,Clockwork Empires,0.0,2.0,,,13.0,15.0,32.0,"id: 129
","id: 339
",Clockwork Empires,50.0,1.0,17.0,22.0,
35,Venetica,0.0,5.0,,173.0,12.0,31.0,32.0,"id: 22
","id: 226
",Venetica,37.0677947106001,14.0,1.0,17.0,22.0
36,Evil Genius,561.0,17.0,,,9.0,11.0,13.0,"id: 11
","id: 40
",Evil Genius,74.4273859772431,28.0,1.0,27.0,
37,Imperial Glory,0.0,3.0,,,11.0,15.0,24.0,"id: 2
","id: 683
",Imperial Glory,76.3340960254006,9.0,22.0,39.0,
38,Wildlife Park 3,2056.0,0.0,,,13.0,15.0,32.0,"id: 1148
","id: 2672
",Wildlife Park 3,50.0,1.0,,,
39,Tropico 4,508.0,39.0,,,11.0,13.0,15.0,"id: 8
","id: 60
",Tropico 4,79.63565696479981,96.0,27.0,28.0,33.0
40,,,,,,,,,,,,,,,,
41,Airline Tycoon 2,1329.0,1.0,,,13.0,15.0,,"id: 379
","id: 994
",Airline Tycoon 2,20.0,3.0,28.0,33.0,
