01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_review_score,13_count_review
BioShock,bioshock,1065,43557,56197,80125,50858,2848,2082,558,5488,85,4178
Risen,risen,7843,99090,131827,163897,130634,96,241,89,426,75,249
Tom Clancy's EndWar,tom clancy's endwar,10424,37647,100926,270568,50764,13,5,0,18,64,17
Football Manager 2013,football manager 2013,11720,1039205,1152000,1921020,1474247,15,2,3,20,81,27
War for the Overworld,war for the overworld,25538,51572,91566,165851,66512,21,11,2,34,72,18
Jack Keane,jack keane,4778,37520,39600,0,38404,12,3,0,15,68,11
The Darkness II,the darkness ii,9830,21729,29447,53034,25128,668,282,110,1060,74,662
Darksiders II,darksiders ii,2245,77268,103697,158612,95940,266,317,62,645,77,465
East India Company,east india company,3040,0,0,125220,125220,0,0,1,1,0,0
Metro 2033,metro 2033,5946,34139,42389,70525,37902,894,350,86,1330,77,808
Assassin's Creed,assassin's creed,649,53925,71910,110752,64760,1278,1050,328,2656,69,2491
Evolve,evolve,16639,16540,25448,221460,37652,18,8,6,32,55,81
GT Legends,gt legends,4140,60900,81750,0,74262,2,3,0,5,64,5
Anno 2205,anno 2205,31282,69498,116098,195949,96003,18,10,3,31,70,27
Call of Juarez,call of juarez,1485,28325,34068,38945,30604,164,79,29,272,72,215
Far Cry 2,far cry 2,3377,60126,93509,149972,82535,233,267,70,570,68,542
RIFT,drift21,86046,18000,28800,43200,29400,1,1,1,3,100,1
Call of Duty 2,call of duty 2,1465,29867,34575,40389,31964,420,74,82,576,78,642
Evil Genius,evil genius,3242,97868,98514,135348,108069,11,10,2,23,70,27
The 7th Guest,the 7th guest,9740,28501,28689,29778,28833,40,5,17,62,62,43
Far Cry,far cry,3376,47376,58228,68467,51749,353,84,94,531,71,446
APB Reloaded,apb: reloaded,517,140400,0,0,140400,1,0,0,1,49,27
Wildlife Park 3,wildlife park 3,17098,0,0,108000,108000,0,0,1,1,30,1
Breach,breach,65180,0,0,0,0,0,0,0,0,0,0
Gray Matter,gray matter,4088,42325,48231,50305,45635,27,13,22,62,74,43
Venetica,venetica,10911,70015,79504,104063,81364,13,29,13,55,65,41
Clockwork Empires,clockwork empires,30668,0,0,0,0,0,0,0,0,0,0
Bejeweled Twist,bejeweled twist,1002,12600,0,0,12600,2,0,0,2,50,2
Praetorians,praetorians,7268,54880,0,322200,107087,4,0,2,6,66,7
Split/Second,split / second,8976,35231,47864,70931,40745,55,35,11,101,75,146
Football Manager 2016,football manager 2016,31881,974606,990000,3899925,1759304,8,4,1,13,79,26
Alpha Protocol,alpha protocol,401,46999,62404,92516,56999,230,270,45,545,72,428
Supreme Commander,supreme commander,9483,66340,104460,172194,97886,16,11,8,35,74,44
Sacred 3,sacred 3,20253,30571,33425,59469,36295,15,23,7,45,53,45
Worms Reloaded,worms: reloaded,11314,34104,77780,156830,63594,7,11,3,21,70,36
Football Manager 2011,football manager 2011,3629,1234580,1831382,2493746,1556155,6,6,1,13,75,17
Darkspore,darkspore,2249,60441,159900,0,79118,7,3,0,10,59,7
Sid Meier's Civilization IV,sid meier's civilization iv,8505,46109,152175,413330,99147,49,29,6,84,82,153
The Next BIG Thing,the next big thing,10113,22046,25896,26912,24254,41,10,17,68,68,45
Blitzkrieg 2 Anthology,blitzkrieg 2,22846,73004,90000,154400,100300,3,1,3,7,71,7
Goodbye Deponia,goodbye deponia,14153,36508,44050,44079,40445,101,46,69,216,78,139
Fallout 3,fallout 3,3340,80431,190441,417062,170258,485,627,212,1324,82,1133
Homeworld Remastered Collection,homeworld: remastered collection,24517,76298,77090,123941,90530,20,16,20,56,82,40
F.E.A.R. 3,f.e.a.r. 3,3296,21329,29239,54435,23293,397,136,28,561,61,478
