     ,01_game_name                                                                      ,02_hltb_name                                                                       ,03_hltb_id ,04_time_main ,05_time_plus ,06_time_100 ,07_time_allstyle ,08_count_main ,09_count_plus ,10_count_100 ,11_count_allstyle ,12_count_completed ,13_count_speedrun ,14_count_backlog ,15_count_playing ,16_count_retired ,17_review_score ,18_count_review ,collection                                        ,follows ,game_engines                   ,genre1                     ,genre2                     ,genre3                     ,keywords1                    ,keywords2                          ,keywords3                     ,keywords4                         ,keywords5                                             ,name                                                       ,rating            ,rating_count ,themes1                                          ,themes2         ,themes3                                          ,themes4                                          ,themes5
   0 ,DuckTales Remastered                                                              ,ducktales: remastered                                                              ,     12716 ,       12944 ,       18146 ,      38856 ,           15980 ,          329 ,          150 ,          53 ,              532 ,              1381 ,                5 ,            1928 ,              25 ,             178 ,             74 ,            402 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
   1 ,Fading Hearts                                                                     ,fading hearts                                                                      ,      3324 ,        6950 ,       19860 ,      19913 ,           15756 ,            3 ,            3 ,           2 ,                8 ,                15 ,                0 ,              45 ,               1 ,               5 ,             57 ,              7 ,                                                  ,    1.0 ,                               ,Simulator                  ,Adventure                  ,Indie                      ,dating                       ,role playing                       ,adventure                     ,simulation                        ,steam                                                 ,Fading Hearts                                              ,50.0              ,         0.0 ,                                                 ,                ,                                                 ,                                                 ,
   2 ,DEFCON                                                                            ,defcon                                                                             ,      2402 ,        4519 ,       12978 ,      23394 ,            7439 ,           19 ,            3 ,           5 ,               27 ,               254 ,                0 ,            2273 ,              28 ,             581 ,             57 ,             29 ,                                                  ,    3.0 ,                               ,Real Time Strategy (RTS)   ,Strategy                   ,Indie                      ,nuclear weapons              ,war                                ,apocalypse                    ,                                  ,                                                      ,DEFCON                                                     ,77.4339083978372  ,        19.0 ,Warfare                                          ,                ,                                                 ,                                                 ,
   3 ,Eufloria HD                                                                       ,eufloria                                                                           ,      3197 ,       42145 ,       59683 ,      83612 ,           52010 ,           39 ,           16 ,          13 ,               68 ,               274 ,                0 ,            1421 ,               8 ,             393 ,             70 ,             40 ,Eufloria                                          ,    2.0 ,                               ,Puzzle                     ,Strategy                   ,Indie                      ,                             ,                                   ,                              ,                                  ,                                                      ,Eufloria HD                                                ,80.0              ,         4.0 ,                                                 ,                ,                                                 ,                                                 ,
   4 ,I Am Alive                                                                        ,i am alive                                                                         ,      4573 ,       19209 ,       22711 ,      26583 ,           21768 ,          148 ,          113 ,          33 ,              294 ,               644 ,                0 ,            1166 ,              10 ,             165 ,             66 ,            231 ,                                                  ,   27.0 ,Unreal Engine 3                ,Platform                   ,Adventure                  ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,I Am Alive                                                 ,66.381853038133   ,        68.0 ,Action                                           ,Action          ,Horror                                           ,Survival                                         ,Historical
   5 ,Call of Duty 2                                                                    ,call of duty 2                                                                     ,      1465 ,       29897 ,       34575 ,      40359 ,           32055 ,          421 ,           74 ,          83 ,              578 ,              2228 ,                3 ,             670 ,              24 ,             106 ,             78 ,            646 ,Call of Duty                                      ,  294.0 ,IW Engine                      ,Shooter                    ,                           ,                           ,historical warfare           ,world war 2 ( ww2 )                ,vehicular combat              ,tanks                             ,sniper                                                ,Call of Duty 2                                             ,84.14805603612321 ,       760.0 ,Action                                           ,Action          ,Warfare                                          ,                                                 ,
   6 ,Airport Madness World Edition                                                     ,airport madness: world edition                                                     ,     27759 ,       24060 ,       46236 ,          0 ,           40700 ,            1 ,            3 ,           0 ,                4 ,                 8 ,                0 ,              90 ,               4 ,              19 ,             60 ,              5 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
   7 ,BioShock 2                                                                        ,bioshock 2                                                                         ,      1066 ,       38621 ,       51802 ,      83216 ,           46270 ,         1368 ,         1180 ,         247 ,             2795 ,              8828 ,                2 ,           14956 ,             133 ,            1756 ,             78 ,           2199 ,Bioshock                                          ,  276.0 ,Unreal Engine                  ,Shooter                    ,Role-playing (RPG)         ,Adventure                  ,assassin                     ,robot                              ,blood                         ,underwater                        ,murder                                                ,BioShock 2                                                 ,80.88937042006309 ,       796.0 ,Action                                           ,Action          ,Thriller                                         ,                                                 ,
   8 ,World of Goo                                                                      ,world of goo                                                                       ,     11283 ,       21581 ,       28608 ,      49682 ,           24332 ,          225 ,          107 ,          28 ,              360 ,              1853 ,                0 ,            4202 ,              41 ,             805 ,             75 ,            338 ,                                                  ,   83.0 ,                               ,Puzzle                     ,Simulator                  ,Strategy                   ,casual                       ,indie                              ,gravity                       ,touch                             ,physics                                               ,World of Goo                                               ,80.0488311977437  ,       240.0 ,Comedy                                           ,Comedy          ,                                                 ,                                                 ,
   9 ,Puzzle Dimension                                                                  ,puzzle dimension                                                                   ,      7420 ,       46800 ,       47100 ,      50304 ,           48282 ,            3 ,            2 ,           5 ,               10 ,                43 ,                0 ,             458 ,               4 ,              67 ,             71 ,             11 ,                                                  ,    0.0 ,Traktor                        ,Puzzle                     ,Indie                      ,                           ,casual                       ,indie                              ,3d                            ,fire                              ,puzzles                                               ,Puzzle Dimension                                           ,80.0              ,         3.0 ,                                                 ,                ,                                                 ,                                                 ,
  10 ,L.A. Noire                                                                        ,l.a. noire                                                                         ,      5146 ,       77766 ,      103320 ,     147830 ,           97476 ,          517 ,          639 ,         194 ,             1350 ,              4351 ,                1 ,            7109 ,              90 ,             770 ,             78 ,           1220 ,                                                  ,   15.0 ,                               ,Shooter                    ,Strategy                   ,Adventure                  ,remastered                   ,crime                              ,thriller                      ,xbox one x enhanced               ,4k ultra hd                                           ,L.A. Noire                                                 ,92.9459787338824  ,        24.0 ,Action                                           ,Action          ,Historical                                       ,Sandbox                                          ,Open world
  11 ,Folk Tale                                                                         ,folk tale                                                                          ,     25796 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 1 ,                0 ,              66 ,               0 ,              21 ,              0 ,              0 ,                                                  ,    3.0 ,Unity                          ,Role-playing (RPG)         ,Simulator                  ,Strategy                   ,indie                        ,medieval                           ,fantasy                       ,comedy                            ,fire                                                  ,Folk Tale                                                  ,50.0              ,         2.0 ,Action                                           ,Action          ,Historical                                       ,Comedy                                           ,
  12 ,Deponia The Complete Journey                                                      ,deponia: the complete journey                                                      ,     21094 ,       95538 ,      114037 ,     125758 ,          109063 ,           68 ,           53 ,          45 ,              166 ,               487 ,                0 ,            2683 ,              51 ,             168 ,             78 ,             83 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  13 ,The Binding of Isaac Rebirth                                                      ,the binding of isaac: rebirth                                                      ,      9782 ,       19070 ,      301156 ,     989870 ,          363594 ,          148 ,          150 ,         141 ,              439 ,              1902 ,                2 ,            2706 ,             107 ,             535 ,             85 ,            509 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  14 ,Bloody Good Time                                                                  ,bloody good time                                                                   ,      1192 ,        7320 ,           0 ,          0 ,            7320 ,            1 ,            0 ,           0 ,                1 ,                33 ,                0 ,             182 ,               6 ,             109 ,             65 ,              6 ,                                                  ,    0.0 ,Source                         ,Shooter                    ,                           ,                           ,murder                       ,drugs                              ,comedy                        ,movie games                       ,first person shooter                                  ,Bloody Good Time                                           ,60.0331455787306  ,         6.0 ,Action                                           ,Action          ,Comedy                                           ,                                                 ,
  15 ,Runaway A Road Adventure                                                          ,runaway: a road adventure                                                          ,      8016 ,       28792 ,       35145 ,      45658 ,           31723 ,           51 ,           13 ,          15 ,               79 ,               312 ,                0 ,             587 ,              11 ,              33 ,             75 ,             56 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  16 ,Assassin's Creed Revelations                                                      ,assassin's creed: revelations                                                      ,       664 ,       44551 ,       74389 ,     123511 ,           67173 ,          816 ,          981 ,         305 ,             2102 ,              6723 ,                2 ,            4426 ,              56 ,             356 ,             75 ,           1824 ,Assassin's Creed                                  ,  295.0 ,Anvil                          ,Adventure                  ,                           ,                           ,assassin                     ,sandbox                            ,medieval                      ,sword                             ,history                                               ,Assassin's Creed Revelations                               ,76.7722577342128  ,       878.0 ,Action                                           ,Action          ,Historical                                       ,Stealth                                          ,Sandbox
  17 ,America's Army 3                                                                  ,america's army 3                                                                   ,       426 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 9 ,                0 ,             113 ,               5 ,              48 ,             80 ,              1 ,America's Army                                    ,    0.0 ,Unreal Engine 3                ,Shooter                    ,                           ,                           ,modern warfare               ,health                             ,steam                         ,achievements                      ,online                                                ,America's Army 3                                           ,40.2323990970327  ,         5.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
  18 ,1953 NATO vs Warsaw Pact                                                          ,1953: nato vs warsaw pact                                                          ,     23501 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 1 ,                0 ,              23 ,               1 ,               5 ,             10 ,              1 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  19 ,HAWKEN                                                                            ,hawken                                                                             ,     17087 ,           0 ,       25672 ,          0 ,           25672 ,            0 ,            2 ,           0 ,                2 ,                88 ,                0 ,             794 ,              19 ,             687 ,             63 ,             27 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  20 ,Audition Online                                                                   ,audition online                                                                    ,     27467 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 5 ,                0 ,              51 ,               3 ,              42 ,             50 ,              2 ,                                                  ,    2.0 ,                               ,Music                      ,                           ,                           ,fantasy                      ,music/rhythm                       ,premium items                 ,xfire                             ,e3 2006                                               ,Audition Online                                            ,79.9784528005667  ,         6.0 ,Fantasy                                          ,                ,                                                 ,                                                 ,
  21 ,Salvation Prophecy                                                                ,salvation prophecy                                                                 ,      8094 ,       52800 ,           0 ,          0 ,           52800 ,            2 ,            0 ,           0 ,                2 ,                 9 ,                0 ,              87 ,               1 ,               7 ,             70 ,              2 ,                                                  ,    0.0 ,                               ,Shooter                    ,Role-playing (RPG)         ,Simulator                  ,flight simulator             ,sci-fi                             ,flight                        ,shooter                           ,simulation                                            ,Salvation Prophecy                                         ,50.0              ,         1.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
  22 ,Football Manager 2016                                                             ,football manager 2016                                                              ,     31881 ,      974607 ,      990000 ,    3899925 ,         1759304 ,            8 ,            4 ,           1 ,               13 ,                98 ,                0 ,              87 ,               5 ,             138 ,             79 ,             26 ,Football Manager                                  ,    3.0 ,                               ,Simulator                  ,Sport                      ,Strategy                   ,soccer                       ,football                           ,management                    ,simulation                        ,steam                                                 ,Football Manager 2016                                      ,85.4145719630499  ,        25.0 ,                                                 ,                ,                                                 ,                                                 ,
  23 ,The Slaughtering Grounds                                                          ,the slaughtering grounds                                                           ,     22710 ,           0 ,           0 ,       7200 ,            7200 ,            0 ,            0 ,           1 ,                1 ,                 7 ,                0 ,              55 ,               0 ,              25 ,             10 ,              1 ,                                                  ,    0.0 ,Unity                          ,Shooter                    ,Indie                      ,                           ,zombies                      ,steam greenlight                   ,first-person perspective      ,controversy                       ,                                                      ,The Slaughtering Grounds                                   , 0.0              ,         0.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
  24 ,Sid Meier's Civilization III Complete                                             ,sid meier's civilization iii: complete                                             ,      8502 ,       84415 ,      153660 ,     377694 ,          138337 ,           17 ,            8 ,           3 ,               28 ,               368 ,                0 ,            3312 ,              41 ,             809 ,             80 ,             49 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
