,user_id,game_name, time_is_play,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
0,298950,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
1,975449,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
2,9128105,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
3,10599862,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
4,11373749,Lara Croft and the Guardian of Light,8.2,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
5,11403772,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
6,13565651,Lara Croft and the Guardian of Light,7.2,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
7,13646256,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
8,18109027,Lara Croft and the Guardian of Light,3.3,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
9,20200395,Lara Croft and the Guardian of Light,2.4,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
10,20772968,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
11,22301321,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
12,22371742,Lara Croft and the Guardian of Light,1.0,lara croft and the guardian of light,5181,22449,29517,60829,28129,204,161,52,417,1525,2,4312,46,406,74,325,,28.0,,Shooter,Platform,Puzzle,female hero ( heroine ),female protagonist,action-adventure,online,dual-stick shooter,Lara Croft and the Guardian of Light,74.23642334677899,84.0,Action,Action,Historical,,
